update;писать git commit, но бот не останавливался
update;коммить уже задеплоенного бота
update;проекты не получают обновление с гита
update;переодически приложение зависает в статусе сборки, хотя сервис досупен публично 
update;проблема обновления проекта (бот в телеге)
update;Не получается обновить проект
update;Сборка/развертывание перестала работать
freq-errors;привязать репозиторий
freq-errors;Repository … not found
freq-errors;проблема с пушем
freq-errors;Whitelabel error page
freq-errors;после пуша не запустилась сборка как обычно
freq-errors;Author identity unknown
freq-errors;при попытке отправить изменения на remote возникает ошибка 404
freq-errors;пуш сам нормально не завершается, только через ctrl c, после этого пишет при пуше, что файлы в актуальном состоянии, не нашел, где посмотреть репо, который работает на сервере
freq-errors;Не пушится проект, пишет в консоли, что все ок, но проект пустой и не запускается на сервисе
freq-errors; Не могу обновить файлы
freq-errors;the current branch master has no upstream branch
freq-errors;error: src refspec master does not match any
freq-errors;error: failed to push some refs to 
freq-errors;не хочет пушить файлы
freq-errors;при отправке изменений на Amvera получаю постоянно такую ошибку push: failed to push some refs
freq-errors;repository not found (.venv) PS 
freq-errors;error: remote amvera already exists.
freq-errors;src refspec master does not match any
freq-errors;failed to push some refs to
freq-errors;не удается отравить некоторые ссылки в
freq-errors;Нет реакции на git push после пересборки проекта (нажал на кнопку пересобрать в интерфейсе сайта)
freq-errors; почему может собираться актуальная версия с репозитория? Запушила на amvera несколько коммитов, но никаких изменений
freq-errors;проект не хочет развертываться
freq-errors;почему при попытке клонирования репозитория новосозданного проекта гит выдаёт что repository not found
freq-errors;репо по ссылке со страницы проекта недоступен
freq-errors;не обновляется файл в репо
freq-errors; не могу запустить свой проект
tgbot;no module named
tgbot;Контейнер перешел в статус FAILED
tgbot;не могу развернуть бота
tgbot;ImportError: Unable to import required dependencies
tgbot;numpy: Error importing numpy: you should not try to import numpy from
tgbot;нет модуля telebot
tgbot;ModuleNotFoundError: No module named 'aiogram
tgbot;ModuleNotFoundError: No module named 'telebot'
tgbot; в боте не работают команды там где есть lis
tgbot;"ERROR - TeleBot: ""Threaded polling exception: A request to the Telegram API was unsuccessful. Error code: 409. Description: Conflict: terminated by other getUpdates request; make sure that only one bot instance is runnin"
tgbot;ModuleNotFoundError: no module named
tgbot;у вас есть поддержка библиотеки telebot для Python? При сборке проекта логи показывают, что не могут её найти
tgbot;"aiogram.utils.exceptions.TerminatedByOtherGetUpdates: Terminated by other getupdates request; make sure that only one bot instance is running"
tgbot;статус проекта «Приложение запущено», но бот молчит
tgbot;Нет логов
payments;оплата не проходит
payments;Mastercard
payments;прием платежей
payments;QIWI
payments;UnionPay
payments;Visa
payments;платежная система
not-found-file;ImportError: libGL.so.1: cannot open shared object file: No such file or directory
not-found-file;ImportError: libGL.so.1: cannot open shared object file: No such file or directory
not-found-file; не подскажите что за ошибка:  No such file or directory
not-found-file;Can't open file '/app/aiogram.py' no such file or directory
not-found-file;Can't open file app.py
not-found-file;Разворачиваю бота, локально работает, в логах сборки ошибок нет, в логах приложения пишет Can't open file '/app/aiogram.py' no such file or directory
not-found-file;can't open file '/app/bot/main.py
not-found-file;не нашлась библиотека openai, хотя в requirements ее указывал, подскажите , как можно решить
not-found-file;Файл добавил, а открыть его не может
infinite-build-run;Контейнер перешел в статус PENDING
infinite-build-run; что делать при бесконечной сборке
infinite-build-run;"состояние ""Проект развёртывается"" не меняется"
infinite-build-run;Нормально ли то, что приложение собирается уже 2 часа
infinite-build-run;почему не запускается проект через хостинг Amvera
infinite-build-run;Проект что-то не собирается, просто бесконечная загрузка
infinite-build-run;"второй день висит ""Проект разворачивается"""
infinite-build-run;Проект «завис» при сборке/запуске
